AcctNo,Loan Type,Customer Type,Age,Source Code,Total Income,Term,Balance,Net Due,Security Code,Bal after Ref,Net Due Renewed,FICO,BNI,CR Limit,Agg Net Bal,Date Opened,PI Constant,Debt Ratio,After Debt Ratio,Housing Type,Collateral Description
3088,Consumer,Present,80,Branch Generated,"$3,169.00",18,"$1,782.39","$1,152.55",Personal Property,$244.52,"$1,397.07",620,158,"$5,000.00","$1,658.07",2/28/2019,$120.00,25.41,26.58,OWN HOME,",PP"
3146,Premier-IB,New,33,Prescreen Offer,"$3,249.58",36,"$3,655.40","$3,035.19",Unsecured,$0.00,"$3,035.19",681,344,"$3,000.00","$3,204.19",4/8/2019,$135.00,28.40,32.56,BUY HOME,",UNSECURED"
3159,Live Check,Former,63,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$2,500.00","$2,275.00",4/1/2019,$163.41,0.00,0,BUY HOME,UNSECURED LIVE CHECK LOAN
3160,Live Check,Former,82,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$2,500.00","$2,155.52",4/1/2019,$163.41,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3161,Live Check,Former,57,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$2,500.00","$2,275.00",4/1/2019,$163.41,0.00,0,BUY HOME,UNSECURED LIVE CHECK LOAN
3162,Consumer,Present,65,Branch Generated,"$2,902.67",18,"$1,845.00",$836.60,Personal Property,$668.46,"$1,505.06",644,303,"$7,500.00","$1,694.06",4/5/2019,$124.00,8.79,9.82,OWN HOME,",PP"
3163,Consumer,Present,65,Branch Generated,"$2,469.90",18,"$1,469.35",$707.34,Personal Property,$457.57,"$1,164.91",616,226,"$5,000.00","$1,357.55",4/2/2019,$100.00,54.29,54.98,BUY HOME,",PP"
3164,Live Check,Former,32,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,$0.00,"$1,525.00",4/2/2019,$125.32,0.00,0,RENT APT,UNSECURED LIVE CHECK LOAN
3165,Live Check,Former,61,Live Check,$0.00,15,"$1,060.00","$1,000.00",Unsecured,$0.00,"$1,000.00",0,0,"$1,000.00",$949.32,4/3/2019,$83.68,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3166,Live Check,Former,66,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,"$1,500.00","$1,399.96",4/3/2019,$125.32,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3167,Consumer,Present,77,Branch Generated,"$1,483.00",18,"$1,547.61",$787.69,Personal Property,$486.71,"$1,274.40",592,185,"$1,500.00","$1,443.40",4/3/2019,$105.00,52.60,52.6,RENT APT,",PP"
3168,Live Check,New,53,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$964.00,4/4/2019,$94.30,0.00,0,OTHER,UNSECURED LIVE CHECK LOAN
3169,Live Check,Former,60,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,$0.00,"$1,525.00",4/4/2019,$125.32,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3170,Live Check,Former,64,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,$0.00,"$1,525.00",4/4/2019,$125.32,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3171,Live Check,New,56,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$964.00,4/4/2019,$94.30,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3172,Live Check,Present,54,Live Check Prospect,"$1,594.67",12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$7,500.00","$2,237.10",4/4/2019,$94.30,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3173,Consumer,New,50,Community Acquaintance,"$2,870.92",9,$622.92,$459.71,Personal Property,$0.00,$459.71,574,304,"$2,500.00",$576.71,4/4/2019,$80.00,13.50,16.28,RENT APT,",PP"
3174,Live Check,New,24,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$964.00,4/4/2019,$94.30,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3175,Live Check,Former,72,Live Check Prospect,"$2,180.00",12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$5,000.00","$1,658.58",4/4/2019,$94.30,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3177,Live Check,New,61,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$964.00,4/4/2019,$94.30,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
