acct_num,loan_type,cust_type,age,tot_income,tern,balance,net_due,security_code,bal_after_ref,net_due_renewed,fico,bni,cr_limit,agg_net_bal,date_opened,pmt,dti,is_bad
1828,1,2,68,"$1,105.00",18,"$1,547.61",$501.70,10,$877.32,"$1,379.02",609,260,"$1,000.00","$1,424.02",11/21/2017,$105.00,43.71,0
1829,15,1,21,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/21/2017,$94.30,0,0
1830,15,1,47,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/21/2017,$94.30,0,0
1831,15,1,47,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/21/2017,$94.30,0,0
1832,15,1,22,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/21/2017,$94.30,0,0
1833,1,2,75,"$1,584.00",15,"$1,251.67",$620.99,10,$510.66,"$1,131.65",598,163,$500.00,"$1,176.65",11/21/2017,$100.00,46.97,0
1834,1,2,78,"$1,203.00",18,"$1,782.39",$787.45,10,$824.95,"$1,612.40",664,282,"$3,000.00","$1,657.40",11/21/2017,$120.00,29.51,0
1835,1,1,40,"$1,776.67",12,$969.55,$828.54,10,$0.00,$828.54,526,154,$500.00,$873.54,11/22/2017,$95.00,47.39,0
1836,1,2,79,$978.00,15,"$1,585.00",$425.39,10,"$1,012.96","$1,438.35",548,113,$500.00,"$1,483.35",11/22/2017,$125.00,20.96,0
1837,1,2,54,"$1,562.08",18,"$1,891.96",$412.28,10,"$1,186.57","$1,598.85",580,163,$500.00,"$1,643.85",11/21/2017,$127.00,67.35,1
1838,1,2,75,"$2,571.37",18,"$1,782.39","$1,029.33",10,$583.07,"$1,612.40",633,188,"$1,000.00","$1,657.40",11/21/2017,$120.00,62.15,0
1839,1,2,60,"$1,785.68",21,"$2,298.21",$636.84,10,"$1,286.37","$1,923.21",639,245,"$2,000.00","$1,968.21",11/21/2017,$145.00,57.96,0
1840,1,2,62,$998.00,12,"$1,111.36",$505.90,10,$497.08,"$1,002.98",589,145,$500.00,"$1,047.98",11/21/2017,$108.00,44.49,0
1841,1,2,64,"$1,520.83",18,"$1,234.56",$600.22,10,$495.69,"$1,095.91",547,189,$500.00,"$1,140.91",11/21/2017,$85.00,42.74,0
1842,1,2,35,"$2,322.67",18,"$1,782.39",$642.13,10,$862.77,"$1,504.90",600,114,"$1,500.00","$1,549.90",11/22/2017,$120.00,24.33,0
1843,1,2,67,$920.00,18,"$1,938.91",$560.66,10,"$1,195.18","$1,755.84",563,206,$500.00,"$1,800.84",11/22/2017,$130.00,29.89,0
1844,1,2,73,"$1,850.00",12,"$1,133.18",$601.96,10,$425.54,"$1,027.50",634,218,"$1,500.00","$1,072.50",11/22/2017,$110.00,21.89,0
